K,density_A,density_B,seed,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
1024,0.008,0.064,44,segfold-dtonly,55504,553526,,0.165652,0.316406,15252,322432,520559,9.972723,22.906745,0.0,213.510107,0.0,214.730218,2.587129,0.068175,1.765711,224490,4287424,430205
1024,0.008,0.128,42,segfold-dtonly,98456,1086766,,0.199828,0.394531,17560,617974,967986,11.038088,29.617169,0.0,204.882364,0.000965,209.957484,2.298164,0.225248,2.772193,342290,8589888,678599
1024,0.008,0.128,43,segfold-dtonly,99297,1077117,,0.199296,0.359375,17905,611507,959465,10.847427,29.926453,0.0,204.977089,0.001722,210.691763,2.270461,0.228839,2.727162,336675,8565568,672085
1024,0.008,0.128,44,segfold-dtonly,98700,1105443,,0.203974,0.398438,17622,631423,982444,11.20003,30.416484,0.0,203.763668,0.000679,209.494174,2.458835,0.201378,2.613647,350976,8564096,682868
1024,0.008,0.256,42,segfold-dtonly,164890,2176706,,0.27096,0.511719,22476,1144266,1744536,13.200958,42.371326,0.0,187.569052,0.00487,198.385881,1.733356,0.363636,4.654418,458328,17195456,919457
1024,0.008,0.256,43,segfold-dtonly,166516,2155302,,0.268777,0.511719,22639,1129411,1728317,12.943513,41.930703,0.0,188.490103,0.00636,199.254492,1.715997,0.411798,4.679274,451954,17131328,912827
1024,0.008,0.256,44,segfold-dtonly,164724,2214820,,0.281348,0.507812,22434,1164184,1766370,13.445642,44.248567,0.0,185.190482,0.004656,196.951058,1.820366,0.420904,4.876035,469034,17165056,921584
1024,0.016,0.001,42,segfold-dtonly,2587,17154,,0.080937,0.152344,67,11021,17119,6.630847,4.94511,0.0,234.191728,0.0,226.784693,3.448009,0.0,0.432547,28198,66560,17025
1024,0.016,0.001,43,segfold-dtonly,2729,18029,,0.081036,0.148438,70,11317,17999,6.606449,5.106999,0.0,234.128985,0.0,226.264566,3.646391,0.0,0.460975,32107,70080,17901
1024,0.016,0.001,44,segfold-dtonly,2529,17067,,0.083945,0.167969,56,10842,17024,6.748517,5.752076,0.0,233.194148,0.0,225.733491,3.293397,0.0,0.480427,28099,64768,16928
1024,0.016,0.002,42,segfold-dtonly,5002,33626,,0.0828,0.15625,398,21083,33465,6.722511,5.432027,0.0,234.188924,0.0,226.554178,3.594962,0.0,0.454018,42426,130752,33100
1024,0.016,0.002,43,segfold-dtonly,5092,34060,,0.082136,0.148438,423,21229,33924,6.688924,5.318735,0.0,234.269442,0.0,226.480951,3.825412,0.0,0.409466,43806,132736,33561
1024,0.016,0.002,44,segfold-dtonly,5091,34087,,0.08241,0.148438,422,21258,33915,6.695541,5.362994,0.0,234.198979,0.0,226.524651,3.715773,0.0,0.507759,45126,130112,33485
1024,0.016,0.004,42,segfold-dtonly,9849,67917,,0.085303,0.152344,2113,41198,67346,6.895827,5.791552,0.0,233.772566,0.0,226.447254,3.739567,0.0,0.488171,75931,264832,65843
1024,0.016,0.004,43,segfold-dtonly,10128,69725,,0.085314,0.171875,2221,42159,69091,6.88438,5.831457,0.0,233.830964,0.0,226.253061,3.812796,0.0,0.414692,78437,271744,67418
1024,0.016,0.004,44,segfold-dtonly,10247,69626,,0.083879,0.152344,2130,42043,68965,6.794769,5.57451,0.0,234.202108,0.0,226.566702,3.850883,0.0,0.463843,78801,267904,67352
1024,0.016,0.008,42,segfold-dtonly,19479,135643,,0.086345,0.164062,6849,79238,133348,6.96355,5.903845,0.0,233.724883,0.0,226.197084,3.921711,0.0,0.474665,138813,528960,127201
1024,0.016,0.008,43,segfold-dtonly,19610,138516,,0.088234,0.164062,7094,81058,136043,7.063539,6.284345,0.0,233.242478,0.0,225.863998,3.808618,0.0,0.539011,141392,540608,129479
1024,0.016,0.008,44,segfold-dtonly,19788,138184,,0.086763,0.164062,7197,80377,135785,6.983222,6.001769,0.0,233.594704,0.0,226.018142,3.96508,0.0,0.513695,143035,533376,129586
1024,0.016,0.016,42,segfold-dtonly,38028,274488,,0.090044,0.179688,12770,160425,265326,7.21805,6.355422,0.0,232.854528,0.0,225.095535,4.104633,0.0,0.621621,256599,1070272,241698
1024,0.016,0.016,43,segfold-dtonly,38208,276217,,0.09055,0.179688,12062,162115,266816,7.229298,6.501047,0.0,232.711945,0.0,224.891698,4.157323,0.0,0.589693,255719,1080000,242458
1024,0.016,0.016,44,segfold-dtonly,38500,275803,,0.08913,0.171875,12624,161686,266528,7.163714,6.212909,0.0,233.089506,0.0,225.329455,4.148416,0.0,0.567688,257565,1063360,242545
1024,0.016,0.032,42,segfold-dtonly,72071,551727,,0.096547,0.191406,14890,328288,516711,7.655326,7.139848,0.0,231.23062,0.0,223.265419,4.385523,0.000278,0.701655,445557,2150016,429395
1024,0.016,0.032,43,segfold-dtonly,71902,549280,,0.096326,0.207031,14798,326572,514011,7.639287,7.109302,0.0,231.283511,0.0,223.202567,4.427707,0.0,0.688854,440950,2141440,427096
